Uniquekey,category,matched_chat_text,Skill,pred_val_bert,pred_val_llm_skill,pred_val_llm_skill_desc,subprocess,group,confidence,reasoning
65dbcf5c3b09451a1bfdfd0ade84767b,basic,What are the phases of case-based reasoning?,Case-Based Reasoning,Remember,Remember,Remember,Recalling,lower_order,high,"The student asks for the phases of CBR, a factual recall of the process steps."
d7381503c7172fc148693600bfe72cfd,basic,What is the adapt step of case-based reasoning?,Case-Based Reasoning,Understand,Remember,Understand,Explaining,lower_order,high,"The student asks what the adapt step is, which requires explaining its role and function in CBR."
94b2820663afcf24706c14cb216b765c,complex,How do the five steps of CBR connect?,Case-Based Reasoning,Apply,Analyze,Analyze,Organizing,mid_order,high,"The question asks how the five steps connect, which requires organizing and describing relationships among parts."
04479860c286ed34b3fffe4cfb18501e,complex,Why does the adapt step follow after the retrieve step in case-based reasoning?,Case-Based Reasoning,Analyze,Understand,Understand,Explaining,lower_order,high,"The student asks why the adapt step follows retrieve in CBR, which requires explaining the rationale linking steps."
5c946ef7e8e443f02bbbb6adb2c73cf3,critical,In what scenarios might case-based reasoning fail?,Case-Based Reasoning,Apply,Evaluate,Evaluate,Critiquing,higher_order,high,"The student asks about failure scenarios for case-based reasoning, which requires evaluating and critiquing its limitations."
5f6226c43e0380131c5065e31b5b85e7,critical,What are some examples of novel aspects not represented by stored cases?,Case-Based Reasoning,Understand,Understand,Understand,Exemplifying,lower_order,high,Requesting examples of novel aspects not represented by stored cases calls for exemplification of abstract ideas.
3afb1eaa624801420f5c777133554619,creative,"""In the store step of case-based reasoning, what if there is no memory left?""",Case-Based Reasoning,Apply,Understand,Apply,Implementing,mid_order,medium,"The student asks what to do when there's no memory left during the store step, which asks for an implementation/operational solution."
4e626be8e88c0a042db3324ecbb7b705,creative,How would you apply case-based reasoning to build a LEGO set?,Case-Based Reasoning,Apply,Apply,Apply,Executing,mid_order,high,"The student asks how to apply case-based reasoning to build a LEGO set, which requires executing the method in a concrete task."
fea2dd992028148e72f91b81e69c0c99,basic,What is a semantic network and what are its important components?,Semantic Networks,Analyze,Remember,Remember,Recalling,lower_order,high,"The question asks for a definition and the key components, which requires retrieving factual knowledge."
b7bdbffc2c48160024dccf612e17bd8c,basic,How are different relationships represented in a semantic network?,Semantic Networks,Analyze,Understand,Understand,Explaining,lower_order,high,"The question asks how different relationships are represented in a semantic network, requiring explanation of representation techniques."
fa173608ac4fa3e6b416221262e73357,complex,Can you walk through an example of a semantic network being built with multiple layers?,Semantic Networks,Analyze,Apply,Apply,Executing,mid_order,high,"The student requests a step-by-step worked example demonstrating building a semantic network, which is a procedural task."
3bd317f220068748b4773fe20d2370df,complex,Can you give me the step by step process of building a semantic network from the Guards and Prisoners problem?,Semantic Networks,Remember,Apply,Apply,Implementing,mid_order,high,"The user requests a step-by-step process for building a semantic network for a specific problem, which is procedural application."
b13069c578ba08691f9f0e595863cd99,critical,What are some problems with semantic networks?,Semantic Networks,Understand,Analyze,Evaluate,Critiquing,higher_order,high,Asking for problems with semantic networks invites evaluative critique of their weaknesses.
56d3bd14a31b11a94318302ac0a984b3,critical,In what types of cases will semantic networks fail?,Semantic Networks,Apply,Analyze,Evaluate,Critiquing,higher_order,high,"The user asks in which cases semantic networks will fail, which requires critique and evaluation of limitations."
a347cf715e30d50adbc2790cb7ba3b55,creative,How would semantic networks be used in a more real life scenario such as with a movie recommendation system?,Semantic Networks,Apply,Apply,Apply,Implementing,mid_order,high,"The question asks how to use semantic networks for a movie recommendation system, requiring application of the representation to a real use case."
c131b8215e4adb7296c66d742b82077f,creative,Can semantic networks be extended to use weights for relationships?,Semantic Networks,Apply,Understand,Understand,Explaining,lower_order,medium,"The question asks whether and how semantic networks can be extended with weights, requiring explanatory discussion of possible extensions."
9e33d71682491acd5591a5e9014e3656,basic,what is case-based reasoning,Case-Based Reasoning,Remember,Remember,Remember,Recalling,lower_order,high,"This is a direct request for the definition of case-based reasoning, a recall task."
494010a8656e06b9709693b320968d9e,basic,What is case based reasoning used for?,Case-Based Reasoning,Analyze,Remember,Understand,Explaining,lower_order,high,"They ask about the uses of case-based reasoning, which requires explaining its purposes and applications."
0adbe44be0c2d5a682bec504f4776f28,complex,"""Say I am using case-based reasoning in a bot to handle customer support. The customer comes with a new type of problem that is sort of similar to previous cases, but requires a novel system that does not exist, how would case-based reasoning apply here.""",Case-Based Reasoning,Create,Apply,Apply,Implementing,mid_order,high,"They ask how case-based reasoning would be applied to a novel customer problem, which is applying the method to a scenario."
9fead0104eca39a798f17253e69fddab,complex,"""During the adaptation to evaluation stage, how does it successfully define a problem as """"solved"""", additionally what if the problem is not solved?""",Case-Based Reasoning,Evaluate,Understand,Analyze,Attributing,mid_order,high,"They ask how the adaptation-to-evaluation stage determines a problem is solved or not, which requires analyzing success criteria and outcomes."
806223787b4cbc85610e4253fbc2a590,critical,When does case based reasoning fail,Case-Based Reasoning,Analyze,Evaluate,Evaluate,Checking,higher_order,high,"They ask when case-based reasoning fails, which requires evaluating its limitations and failure modes."
24a3369bf1f6bd5b414ea8660fce828f,critical,what happens when something is retrieved that does not actually match the current situation,Case-Based Reasoning,Apply,Analyze,Analyze,Attributing,mid_order,high,"They ask what happens when a retrieved case doesn't match the situation, which requires analyzing the consequences and error sources."
09535e5b45287baec3e252ea23a3e39c,creative,What if we modified the retrieval to return multiple past cases instead to compound into a new solution?,Case-Based Reasoning,Create,Evaluate,Analyze,Organizing,mid_order,medium,"They inquire about the effects of returning multiple retrieved cases and how they could be combined, which involves organizing and reasoning about system behavior."
7239bc2dc6d486d068058d4bed23e743,creative,"""Can multiple instances of case based reasoning be chained together to solve more complex problems? If so, give an example.  """,Case-Based Reasoning,Apply,Understand,Apply,Implementing,mid_order,high,"They ask whether multiple CBR instances can be chained and request an example, which involves applying and demonstrating the method."
1fd6d7b837c7e775fcc214431749da36,basic,What is the Version Space and how does it represent the set of consistent hypotheses?\n,Version Spaces,Remember,Understand,Understand,Explaining,lower_order,high,"The student asks what a Version Space is and how it represents consistent hypotheses, which is a conceptual explanation."
940e4304fa3aed9d6153063aaf3ea034,basic,Can you explain what the S-set and G-set represent in the Version Spaces algorithm?\n,Version Spaces,Remember,Understand,Understand,Explaining,lower_order,high,Requesting an explanation of what S and G represent requires conceptual understanding of the algorithm's components.
7725a8a01b03d251011ec40d7c68a374,complex,"""	When a new positive example is encountered, how does the algorithm decide which hypotheses in the S-set to generalize, and how does this interact with pruning the G-set?""",Version Spaces,Analyze,Analyze,Analyze,Organizing,mid_order,high,Explaining how the algorithm selects hypotheses and how that interacts with pruning requires organizing the algorithm's components and relationships.
14dfb23b5584ccd2392e58ef2b617442,complex,Walk me through what happens when a negative example contradicts a hypothesis currently in the S-set — what chain of updates occurs across both S and G?\n,Version Spaces,Analyze,Apply,Apply,Executing,mid_order,high,"The student requests a step-by-step walkthrough of the update chain when a negative example contradicts S, which is executing the algorithmic procedure."
7d4696d70c74b9f194f214d422e72440,critical,The algorithm assumes no noise in training data. How would even a single mislabeled example affect the integrity of the S-set and G-set?\n,Version Spaces,Apply,Analyze,Analyze,Attributing,mid_order,high,Assessing how a mislabeled example affects S and G requires analyzing and attributing specific structural impacts on the version space.
eb4e5e5ad675dba64c615fb3ebf5aafb,creative,Could Version Spaces be adapted for a recommendation system where user preferences are treated as positive/negative examples? What would the hypothesis space look like?,Version Spaces,Apply,Create,Create,Planning,higher_order,medium,Designing an adaptation of Version Spaces for recommendation systems asks for planning a novel hypothesis space and system design.
e87d2ab34045a65c04f6d9f6a68eb4a2,creative,"""What if we allowed partial matches instead of exact matches — could a """"fuzzy"""" Version Space handle continuous-valued features?\n""",Version Spaces,Apply,Evaluate,Evaluate,Checking,higher_order,medium,Questioning whether fuzzy matching could adapt Version Spaces asks for evaluation of a methodological extension and its feasibility.
f667d15c9be7c3370104b92b1cec127f,basic,"""What is """"Version"""" in Version Space?""",Version Spaces,Remember,Remember,Remember,Recalling,lower_order,high,"This is a request for the definition or meaning of a term, a factual recall task."
711c849310baaf2744fe328d97478cec,complex,"""Using a example, explain how the version space changes when new data is added.""",Version Spaces,Understand,Understand,Understand,Exemplifying,lower_order,high,Asking for an example to show how the version space changes requests an illustrative explanation using a concrete example.
371ba314a4a3d2e97eb16b4f020052b7,critical,""" If the data is noisy, the version space may become overly general. How can this issue be addressed?""",Version Spaces,Apply,Create,Create,Generating,higher_order,medium,"Requesting fixes for noisy data in version spaces asks for proposed solutions and adaptations, which is generative."
7a6ce4b657c194b46d2f6b4b0a12ab64,creative,How is Version Space learning different from finding a hyperplane in classification methods?,Version Spaces,Analyze,Analyze,Analyze,Differentiating,mid_order,high,Comparing Version Space learning to finding a hyperplane asks for differentiating the two approaches and their assumptions.
24524a5c7e7e739387358bb03b88b0ce,creative,"""As the number of features increases, the version space becomes highly complex. What are possible ways to address this issue?""",Version Spaces,Create,Create,Create,Generating,higher_order,medium,"Asking for ways to address version space complexity solicits generation of possible mitigation strategies, a creative task."
b840021956df2ea3fd44bf98a3cabffd,basic,what is the difference between the specific model and the general model,Version Spaces,Analyze,Understand,Understand,Comparing,lower_order,high,"The student asks for the difference between two concepts, which requires comparing their meanings."
03ec312c7a9c6c3faa7ff5cf892785bd,complex,How do the steps of the decision tree that have multiple correct answers connect with one another to find the most optimal tree?,Version Spaces,Apply,Analyze,Analyze,Organizing,mid_order,medium,"The student asks how multiple-correct-answer steps connect to find an optimal decision tree, requiring organizing relationships among processes."
de334677479fa7aba9b1785501549d51,complex,"""how should I update the general and specific boundaries if I receive a negative example that partially overlaps with multiple current hypotheses, and how do I decide which hypotheses to remove versus specialize?""",Version Spaces,Apply,Analyze,Analyze,Organizing,mid_order,high,"They ask how to update boundaries and choose hypotheses to remove or specialize, which requires organizing the algorithmic update process."
e4ea74393d5887c3de92e5338c28a6e8,critical,"""What happens to the version space if the training examples are noisy or mislabeled? Can the candidate elimination algorithm recover, or does it collapse entirely""",Version Spaces,Apply,Analyze,Analyze,Attributing,mid_order,high,This repeats a question about noisy/mislabeled examples and requires analysis of their effect on the version space.
ebaea1609f2a0f47978ae94f4dfe90f6,critical,The candidate elimination algorithm assumes the target concept is contained somewhere in the hypothesis space. What happens if the true concept can't be represented by any hypothesis>,Version Spaces,Apply,Analyze,Analyze,Attributing,mid_order,high,"They ask about the algorithm's behavior when the true concept is outside the hypothesis space, which requires analyzing consequences."
4b5f9ee785979fab0e26634bb28ddf4e,creative,"""""""Could you apply version spaces incrementally in a real-time setting, where new training examples arrive as a stream rather than all at once? """,Version Spaces,Apply,Apply,Apply,Implementing,mid_order,medium,"The question asks about applying version spaces incrementally to streaming data, which involves implementing or adapting the procedure."
38874fde141cc27f37e3dfd18a2154d7,creative,"""Instead of using version spaces for concept learning, could you use the same S-boundary and G-boundary logic to debug a rule-based system?""",Version Spaces,Apply,Create,Create,Generating,higher_order,high,"The student proposes applying version-space logic to debug rule systems, which asks for generating a novel adaptation of a method."
663658dab146e3b48256c2807ca1e568,complex,How does the system decide whether to generalize or specialize its concept after receiving a new instance?,Incremental Concept Learning,Evaluate,Analyze,Understand,Explaining,lower_order,high,"The student asks for the decision rule or mechanism the system uses to generalize versus specialize, a conceptual explanation."
aeb5c40ea137d670ee446597a4adfe74,complex,"""Why is it important for incremental concept learning to keep track of both positive and negative examples, and how does this influence the concept boundaries over time?""",Incremental Concept Learning,Analyze,Analyze,Analyze,Attributing,mid_order,high,"The question asks how tracking positives and negatives affects concept boundaries over time, which requires attribution of influence."
571b025f436b07f6c2342fe139223bdf,critical,"""In incremental concept learning, what happens if the first few examples are misleading or noisy?""",Incremental Concept Learning,Apply,Analyze,Analyze,Attributing,mid_order,medium,"The question asks about effects of misleading/noisy early examples, which requires analyzing how those cases impact learning."
7ad43237d2789afc216aca86ed107569,critical,Does incremental concept learning depend on the order in which examples are received?,Incremental Concept Learning,Analyze,Analyze,Analyze,Attributing,mid_order,medium,"The student asks whether and how order affects learning, requiring analysis of algorithmic dependency on example sequence."
40b28299a32239c984d5c03118e0c362,creative,How could incremental concept learning be used in a real-world application?,Incremental Concept Learning,Apply,Apply,Apply,Implementing,mid_order,high,"The student asks how to apply incremental concept learning in a real-world application, which is an application/design task."
b7405a9c0fefaa2f0bc48cd6e6034c16,creative,How might incremental concept learning be adapted for an environment where the target concept changes over time?,Incremental Concept Learning,Apply,Create,Create,Planning,higher_order,medium,"The student asks how to adapt the algorithm for concept drift, which requires proposing a plan or design changes."
c488fa6e2f05af9dff3fdcaf05a85e0f,basic,"""What is Generate and Test, and how does it work?""",Generate & Test,Apply,Understand,Understand,Explaining,lower_order,high,Requesting a definition of Generate and Test and how it works is a conceptual explanation task.
c22aef54ba87b931f8e6d3072c342102,basic,What is the difference between a dumb generator and a smart generator?,Generate & Test,Analyze,Understand,Understand,Comparing,lower_order,high,"The student asks for the difference between two generator types, requiring comparison of characteristics."
051914c2f8cb553d36da87621e832120,complex,"""In the Guards and Prisoners problem, how would you use a semantic network to guide a Generate and Test process step-by-step, including generating possible moves and testing constraints to select the next state?""",Generate & Test,Apply,Apply,Apply,Implementing,mid_order,high,"The student asks for a step-by-step use of semantic networks to guide Generate-and-Test, a procedural implementation in a specific problem."
9588d9a66344b94d1eb985c84bbf0ace,complex,"""How do smart testers and smart generators interact when combined with a semantic network, and why does this improve efficiency compared to using only one of them?""",Generate & Test,Analyze,Understand,Analyze,Organizing,mid_order,medium,"The question asks how components interact and why that improves efficiency, requiring analysis and organization of system interactions."
312bba7dd19c68f86aa1779cf6357d99,critical,What are the limitations of using a semantic network in Generate and Test when the problem space becomes very large or has many constraints?,Generate & Test,Analyze,Evaluate,Evaluate,Checking,higher_order,high,"The question requests assessment of limitations of a method in large or constrained problem spaces, an evaluative judgment."
c65c65db676564a3f7ba4582b27c9102,critical,"""Are there situations where a semantic network might mislead the generator or tester and cause incorrect pruning of valid solutions? If so, why?""",Generate & Test,Analyze,Evaluate,Evaluate,Checking,higher_order,high,"The student asks whether semantic networks can mislead and cause incorrect pruning, which requires evaluating potential failure modes."
b15cb321ab5651171d2631514ca45b26,creative,"""How could you extend the combination of semantic networks and Generate and Test to model how humans solve everyday problems, like planning a schedule or organizing tasks?""",Generate & Test,Apply,Create,Create,Planning,higher_order,high,Extending and adapting methods to model human problem solving requires designing (planning) a system-level approach.
f3338075d0a5210635ab885f53e3f534,creative,"""What would a hybrid system look like that combines semantic networks, Generate and Test, and another AI method (like means-ends analysis), and how would they work together?""",Generate & Test,Create,Create,Create,Planning,higher_order,high,Designing a hybrid system combining multiple AI methods requires planning how components interact and complement each other.
bdb1f91eba348615e26b87bbaf6a96c6,basic,"""what does a generator do? """,Generate & Test,Apply,Remember,Understand,Explaining,lower_order,high,"They ask what a generator does, requiring a straightforward conceptual explanation."
b1100d77ac530197db8a6f181c3c7108,basic,"""what does a tester do? """,Generate & Test,Apply,Remember,Understand,Explaining,lower_order,high,"They simply ask what a tester does, requiring a basic conceptual explanation."
e779893b1f3a0f47493d350b8f72942b,complex,How do the generator and tester work together step by step when solving a problem?,Generate & Test,Apply,Apply,Understand,Explaining,lower_order,high,"They request a step-by-step description of how generator and tester operate together, requiring procedural explanation."
674312c696cec8ab8a33cf7e8fe6567a,complex,"""If the generator creates a possible next state that seems valid at first, how does the tester decide whether to keep it or throw it out?""",Generate & Test,Evaluate,Understand,Understand,Explaining,lower_order,high,"They ask how a tester decides to keep or discard a seemingly valid next state, requiring explanation of tester criteria and checks."
829794a431d8a8611bc63b3b2b0b2bf3,critical,What are some situations where Generate and Test could be slow or inefficient?,Generate & Test,Apply,Analyze,Analyze,Attributing,mid_order,high,"They ask for situations in which generate-and-test is slow or inefficient, requiring identifying causal conditions."
93687056ec4331fda1ef6a2792160e52,critical,"""Can the tester ever remove a state that actually could have led to a solution later, or does it only remove states that are definitely wrong?""",Generate & Test,Apply,Analyze,Analyze,Differentiating,mid_order,medium,"They question whether a tester can mistakenly remove potentially useful states, which requires distinguishing types of tester decisions."
7d59e933b093ffba8fab9767fed93bc6,creative,How could Generate and Test be changed to work better on a very large problem space with too many possible states?,Generate & Test,Apply,Create,Create,Planning,higher_order,high,"They ask how to change generate-and-test to handle very large spaces, which requires proposing and planning algorithmic improvements."
91681261b769e010ea4dfbc29cdd95e8,creative,"""Could Generate and Test be combined with another KBAI skill, like means-ends analysis to solve problems more effectively?""",Generate & Test,Create,Create,Create,Generating,higher_order,high,"Duplicate of 1167: asking how to combine generate-and-test with other techniques, requiring generation of integrated approaches."
a5a93b63f2a0776d1efc4b18d5acde90,basic,What is a frame used for?,Frames,Remember,Remember,Understand,Interpreting,lower_order,high,"The question asks for the purpose or use of a frame, a basic conceptual interpretation."
fa175f185abae9df7dde07b6e37eed43,basic,How do I establish connection between two frames?,Frames,Analyze,Apply,Apply,Implementing,mid_order,high,"The question requests concrete steps to establish connections between two frames, a procedural task."
5db5956571e66e7ce06cd5fa62776696,complex,When should I make another frame versus expanding an existing frame?,Frames,Apply,Evaluate,Evaluate,Checking,higher_order,medium,"The student asks for criteria to judge when to create a new frame versus expanding one, a decision-based judgment."
932f433b048839756bb1c041425363a7,complex,When should I use another Frame as a filler value?,Frames,Apply,Evaluate,Evaluate,Checking,higher_order,medium,"The student asks for criteria for using one frame as a filler value, requiring judgment about appropriateness."
6e79ade641f548e383e042084eab0a80,critical,What should I do if a Frame cannot represent what I want to model?,Frames,Apply,Create,Apply,Implementing,mid_order,medium,"They ask what procedural steps to take when a frame cannot represent the target, implying application of alternatives."
fd724b899b8184e0d2db20f7fc24c4fb,critical,What are the shortcomings of using a Frame system?,Frames,Understand,Evaluate,Evaluate,Critiquing,higher_order,high,"They ask for shortcomings of frame systems, which is a critical evaluation of limitations."
9c6ace8d3d8504d40a64171ad4d48e68,creative,"""When would a frame not work, and can you give me an example?""",Frames,Apply,Analyze,Analyze,Differentiating,mid_order,medium,"They ask when frames fail and want examples, which requires distinguishing conditions and limitations."
